,Name,Distance,Mass,Radius,Gravity
289,SDSSp J175032.96+175903.9,90.0,8.9237750004e+28,69347452.52699994,1238.436633426354
290,2MASS J18283572-4849046,39.0,8.544039894e+28,67917608.14499994,1236.18851364622
291,LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,1667.4106478888943
292,2MASSW J1841086+311727,138.0,1.27211260644e+29,72207141.291,1628.363862996061
293,2MASS J18432213+4040209,46.0,1.82272851072e+29,87220507.302,1599.0828753069409
294,2MASS J20004841-7523070,105.0,4.74668883e+28,134405371.90799993,175.3653195207913
295,SDSS J204749.61-071818.3,65.0,8.733907447199999e+28,68632530.33599994,1237.4702484573404
296,2MASSI J2057540-025230,47.0,1.3290728724e+29,72922063.482,1668.0808524413649
297,2MASSI J2104149-103736,62.0,1.3100861170799998e+29,72922063.482,1644.2511259779164
298,PSO J318.5−22,80.0,1.2341390958e+28,109383095.223,68.84143200551662
299,HB 2124-4228,113.0,1.78475500008e+29,86505585.11099993,1591.7560663764173
300,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.33599994,1237.4702484573404
301,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90899992,1391.2708985730314
302,2MASSW J2206450-421721,93.0,4.1770861704e+28,95084651.403,308.3463412722992
303,2MASSW J2208136+292121,154.0,5.1264239364e+28,100804028.93099992,336.70141347991955
304,2MASSW J2224438-015852,38.0,1.1581920745199998e+29,70777296.90899992,1543.045905690089
305,2MASS J22282889-4310262,35.0,7.974437234399999e+28,67202685.95399994,1178.4549471797186
306,2MASS J22373255+3922398,64.0,1.3860331383599998e+29,74351907.864,1673.3068242582376
307,2MASSW J2244316+204343,56.0,2.2784106384e+28,92224962.63899992,178.78094402431154
308,2MASS J23224684-3133231,56.0,4.5568212768e+28,99374184.54899992,307.9647729940033
309,2MASS J23225299-6151275,148.0,3.2277484044000003e+28,113672628.369,166.71476840857292
310,2MASS J23515044-2537367,67.0,1.67083446816e+29,82930974.15599993,1621.384789169355
311,2MASSI J2356547-155310,74.0,1.5189404256e+29,77926518.81899999,1669.384557701969
312,WISE 0410+1502,20.0,1.1392053192e+28,83645896.34699993,108.6673127879527
313,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,21.082013105928027
314,WISE 0458+6434B,35.9,1.898675532e+28,271670432.5799999,17.16928491175303
315,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,1005.6428101367508
